phrase,round,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero,pass
share sale,1,0,-1,-1,0,-1,-1,0,0,-1,0,-0.5,0.527,5,True
billion cost,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
cost cutting,1,0,0,1,0,0,0,0,0,0,0,0.1,0.316,1,False
win win,1,2,2,3,2,2,2,2,2,2,2,2.1,0.316,10,True
risk assets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
another record,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
global market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
margin boost,1,2,2,3,2,2,2,2,2,2,2,2.1,0.316,10,True
guidance disappoints,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
ground nearly,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
record lows,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
bank chief,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil refinery,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
drone attack,1,-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,-2.8,0.422,10,True
power use,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
act waiver,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
dip buyers,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
warning hits,1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2.9,0.316,10,True
hits shares,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
earnings warning,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
profit gain,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
second half,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rising costs,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
earnings growth,1,2,2,2,3,2,3,2,2,3,2,2.3,0.483,10,True
cost cuts,1,0,0,1,0,0,0,0,0,0,0,0.1,0.316,1,False
annual forecasts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
gas second,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
targets billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
credit card,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
retail traders,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
loss drugs,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
high stakes,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
obesity drug,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
maintains annual,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
profit doubles,1,4,4,4,4,4,4,4,4,4,4,4.0,0.0,10,True
oil surge,1,0,1,0,0,0,1,0,1,0,0,0.3,0.483,3,False
cuts sales,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
stocks slump,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
big oil,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
dividend payers,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
free cash,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
dividend run,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
raises dividend,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
billion stock,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stress test,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
financial services,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock buybacks,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
million share,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
plans billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
nearly billion,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
profit rises,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
glass iphone,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
gain ground,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
restructuring plan,1,0,0,-1,0,-1,-1,0,-1,0,-1,-0.5,0.527,5,True
cost saving,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
asset management,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
makes first,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
first post,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
take private,1,1,1,1,1,1,0,1,0,0,1,0.7,0.483,7,True
regulators clear,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
stock gets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
next months,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
eyes billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
test flight,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
closes flat,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
losing streak,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
big share,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rally cools,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
big things,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil traders,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
